INSERT INTO benchmark (id, title, body, create_by, created_at, updated_at) VALUES
(1, 'Title 1', 'Body 1', 'User1', NOW(), NOW()),
(2, 'Title 2', 'Body 2', 'User2', NOW(), NOW()),
(3, 'Title 3', 'Body 3', 'User3', NOW(), NOW()),
(4, 'Title 4', 'Body 4', 'User4', NOW(), NOW()),
(5, 'Title 5', 'Body 5', 'User5', NOW(), NOW()),
(6, 'Title 6', 'Body 6', 'User6', NOW(), NOW()),
(7, 'Title 7', 'Body 7', 'User7', NOW(), NOW()),
(8, 'Title 8', 'Body 8', 'User8', NOW(), NOW()),
(9, 'Title 9', 'Body 9', 'User9', NOW(), NOW()),
(10, 'Title 10', 'Body 10', 'User10', NOW(), NOW()),
(11, 'Title 11', 'Body 11', 'User11', NOW(), NOW()),
(12, 'Title 12', 'Body 12', 'User12', NOW(), NOW()),
(13, 'Title 13', 'Body 13', 'User13', NOW(), NOW()),
(14, 'Title 14', 'Body 14', 'User14', NOW(), NOW()),
(15, 'Title 15', 'Body 15', 'User15', NOW(), NOW()),
(16, 'Title 16', 'Body 16', 'User16', NOW(), NOW()),
(17, 'Title 17', 'Body 17', 'User17', NOW(), NOW()),
(18, 'Title 18', 'Body 18', 'User18', NOW(), NOW()),
(19, 'Title 19', 'Body 19', 'User19', NOW(), NOW()),
(20, 'Title 20', 'Body 20', 'User20', NOW(), NOW()),
(21, 'Title 21', 'Body 21', 'User21', NOW(), NOW()),
(22, 'Title 22', 'Body 22', 'User22', NOW(), NOW()),
(23, 'Title 23', 'Body 23', 'User23', NOW(), NOW()),
(24, 'Title 24', 'Body 24', 'User24', NOW(), NOW()),
(25, 'Title 25', 'Body 25', 'User25', NOW(), NOW()),
(26, 'Title 26', 'Body 26', 'User26', NOW(), NOW()),
(27, 'Title 27', 'Body 27', 'User27', NOW(), NOW()),
(28, 'Title 28', 'Body 28', 'User28', NOW(), NOW()),
(29, 'Title 29', 'Body 29', 'User29', NOW(), NOW()),
(30, 'Title 30', 'Body 30', 'User30', NOW(), NOW()),
(31, 'Title 31', 'Body 31', 'User31', NOW(), NOW()),
(32, 'Title 32', 'Body 32', 'User32', NOW(), NOW()),
(33, 'Title 33', 'Body 33', 'User33', NOW(), NOW()),
(34, 'Title 34', 'Body 34', 'User34', NOW(), NOW()),
(35, 'Title 35', 'Body 35', 'User35', NOW(), NOW()),
(36, 'Title 36', 'Body 36', 'User36', NOW(), NOW()),
(37, 'Title 37', 'Body 37', 'User37', NOW(), NOW()),
(38, 'Title 38', 'Body 38', 'User38', NOW(), NOW()),
(39, 'Title 39', 'Body 39', 'User39', NOW(), NOW()),
(40, 'Title 40', 'Body 40', 'User40', NOW(), NOW()),
(41, 'Title 41', 'Body 41', 'User41', NOW(), NOW()),
(42, 'Title 42', 'Body 42', 'User42', NOW(), NOW()),
(43, 'Title 43', 'Body 43', 'User43', NOW(), NOW()),
(44, 'Title 44', 'Body 44', 'User44', NOW(), NOW()),
(45, 'Title 45', 'Body 45', 'User45', NOW(), NOW()),
(46, 'Title 46', 'Body 46', 'User46', NOW(), NOW()),
(47, 'Title 47', 'Body 47', 'User47', NOW(), NOW()),
(48, 'Title 48', 'Body 48', 'User48', NOW(), NOW()),
(49, 'Title 49', 'Body 49', 'User49', NOW(), NOW()),
(50, 'Title 50', 'Body 50', 'User50', NOW(), NOW()),
(51, 'Title 51', 'Body 51', 'User51', NOW(), NOW()),
(52, 'Title 52', 'Body 52', 'User52', NOW(), NOW()),
(53, 'Title 53', 'Body 53', 'User53', NOW(), NOW()),
(54, 'Title 54', 'Body 54', 'User54', NOW(), NOW()),
(55, 'Title 55', 'Body 55', 'User55', NOW(), NOW()),
(56, 'Title 56', 'Body 56', 'User56', NOW(), NOW()),
(57, 'Title 57', 'Body 57', 'User57', NOW(), NOW()),
(58, 'Title 58', 'Body 58', 'User58', NOW(), NOW()),
(59, 'Title 59', 'Body 59', 'User59', NOW(), NOW()),
(60, 'Title 60', 'Body 60', 'User60', NOW(), NOW()),
(61, 'Title 61', 'Body 61', 'User61', NOW(), NOW()),
(62, 'Title 62', 'Body 62', 'User62', NOW(), NOW()),
(63, 'Title 63', 'Body 63', 'User63', NOW(), NOW()),
(64, 'Title 64', 'Body 64', 'User64', NOW(), NOW()),
(65, 'Title 65', 'Body 65', 'User65', NOW(), NOW()),
(66, 'Title 66', 'Body 66', 'User66', NOW(), NOW()),
(67, 'Title 67', 'Body 67', 'User67', NOW(), NOW()),
(68, 'Title 68', 'Body 68', 'User68', NOW(), NOW()),
(69, 'Title 69', 'Body 69', 'User69', NOW(), NOW()),
(70, 'Title 70', 'Body 70', 'User70', NOW(), NOW()),
(71, 'Title 71', 'Body 71', 'User71', NOW(), NOW()),
(72, 'Title 72', 'Body 72', 'User72', NOW(), NOW()),
(73, 'Title 73', 'Body 73', 'User73', NOW(), NOW()),
(74, 'Title 74', 'Body 74', 'User74', NOW(), NOW()),
(75, 'Title 75', 'Body 75', 'User75', NOW(), NOW()),
(76, 'Title 76', 'Body 76', 'User76', NOW(), NOW()),
(77, 'Title 77', 'Body 77', 'User77', NOW(), NOW()),
(78, 'Title 78', 'Body 78', 'User78', NOW(), NOW()),
(79, 'Title 79', 'Body 79', 'User79', NOW(), NOW()),
(80, 'Title 80', 'Body 80', 'User80', NOW(), NOW()),
(81, 'Title 81', 'Body 81', 'User81', NOW(), NOW()),
(82, 'Title 82', 'Body 82', 'User82', NOW(), NOW()),
(83, 'Title 83', 'Body 83', 'User83', NOW(), NOW()),
(84, 'Title 84', 'Body 84', 'User84', NOW(), NOW()),
(85, 'Title 85', 'Body 85', 'User85', NOW(), NOW()),
(86, 'Title 86', 'Body 86', 'User86', NOW(), NOW()),
(87, 'Title 87', 'Body 87', 'User87', NOW(), NOW()),
(88, 'Title 88', 'Body 88', 'User88', NOW(), NOW()),
(89, 'Title 89', 'Body 89', 'User89', NOW(), NOW()),
(90, 'Title 90', 'Body 90', 'User90', NOW(), NOW()),
(91, 'Title 91', 'Body 91', 'User91', NOW(), NOW()),
(92, 'Title 92', 'Body 92', 'User92', NOW(), NOW()),
(93, 'Title 93', 'Body 93', 'User93', NOW(), NOW()),
